Package Name,Number of Words in source code,Number of lines in source code,plus ratio mean,plus ratio max,plus ratio std,plus ratio q3,eq ratio mean,eq ratio max,eq ratio std,eq ratio q3,bracket ratio mean,bracket ratio max,bracket ratio std,bracket ratio q3,Number of base64 chunks in source code,Number of IP adress in source code,Number of sospicious token in source code,Number of Words in metadata,Number of lines in metadata,Number of base64 chunks in metadata,Number of IP adress in metadata,Number of sospicious token in metadata,.bat,.bz2,.c,.cert,.conf,.cpp,.crt,.css,.csv,.deb,.erb,.gemspec,.gif,.gz,.h,.html,.ico,.ini,.jar,.java,.jpg,.js,.json,.key,.m4v,.markdown,.md,.pdf,.pem,.png,.ps,.py,.rb,.rpm,.rst,.sh,.svg,.toml,.ttf,.txt,.xml,.yaml,.yml,.eot,.exe,.jpeg,.properties,.sql,.swf,.tar,.woff,.woff2,.aac,.bmp,.cfg,.dcm,.dll,.doc,.flac,.flv,.ipynb,.m4a,.mid,.mkv,.mp3,.mp4,.mpg,.ogg,.otf,.pickle,.pkl,.psd,.pxd,.pxi,.pyc,.pyx,.r,.rtf,.so,.sqlite,.tif,.tp,.wav,.webp,.whl,.xcf,.xz,.zip,.mov,.wasm,.webm,repository,presence of installation script,shannon mean ID source code,shannon std ID source code,shannon max ID source code,shannon q3 ID source code,shannon mean string source code,shannon std string source code,shannon max string source code,shannon q3 string source code,homogeneous identifiers in source code,homogeneous strings in source code,heteregeneous identifiers in source code,heterogeneous strings in source code,URLs in source code,shannon mean ID metadata,shannon std ID metadata,shannon max ID metadata,shannon q3 ID metadata,shannon mean string metadata,shannon std string metadata,shannon max string metadata,shannon q3 string metadata,homogeneous identifiers in metadata,homogeneous strings in metadata,heterogeneous strings in metadata,URLs in metadata,heteregeneous identifiers in metadata
openai-4.31.0,29585.0,7568.0,8.283668638404237e-06,0.0002959893443836022,4.034437934684942e-05,0.0,0.006818178866992174,0.024483133841131665,0.0040397921376914,0.008519961051606621,0.0008803632318384722,0.003218884120171674,0.0010621384636757142,0.0015884684734327984,23.0,14.0,17.0,212,106,1,0,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,74.0,2.0,0,0,0,4.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0.14027404622033027,0.1860297422284534,0.6763620978123273,0.29583638929116374,0.14856230768129375,0.20125587169526823,0.792481250360578,0.29583638929116374,8342,1143,388,42,7,0.053517191756614034,0.1246733588995945,0.4926140680171258,-0.0,0.3327647340745663,0.2174379943230498,0.8804820237218406,0.48375733981572444,65,20,12,0,0
pulumi-aws-6.28.2,1047868.0,222799.0,6.657804417097767e-07,0.0006829934627768562,1.7603844130316947e-05,0.0,0.004960712028614003,0.02828788328597481,0.0017856466833996263,0.005978725488966871,0.002257633819267211,0.008604285596094979,0.0018873362930237974,0.003594777708264535,134.0,0.0,47.0,63,30,0,0,2,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,2164.0,1.0,0,0,0,1.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0.10755497908370144,0.14864756591958775,0.9338169454856061,0.20690842515181687,0.23729958269460216,0.19377841806595206,0.7854752972273343,0.3820570272770137,154855,16021,819,1955,71,0.06348734095007746,0.11937563324964688,0.3420192178195208,0.0,0.2866596195501844,0.2505498099690851,0.8804820237218406,0.48904468262223005,16,10,8,2,0
react-native-windows-0.73.11,538400.0,167389.0,0.0007897394338750759,0.01683937823834197,0.0019110332057046431,0.0005596362811923048,0.003208281592975303,0.014084507042253521,0.0023771630081814658,0.004646028634034631,0.0006423062356194996,0.026578073089700997,0.0014893692576890423,0.0007730993766680345,277.0,1.0,174.0,250,145,1,0,0,0,0,0,0,0,311.0,0,0.0,0,0,0,0,0,0.0,565.0,0.0,2.0,0,0,0,0.0,612.0,12.0,0,0,0,7.0,0,0,20.0,0,0,0,0,0,0.0,0.0,0,0,1.0,4.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0.1758875555634975,0.15779893565874129,0.8288713632524444,0.29583638929116374,0.15875521456840894,0.21612277106814476,0.9591479170272448,0.32501121082417705,71347,16742,2279,247,107,0.1622598043184362,0.13964983984088736,0.612197222702993,0.28630207500824295,0.3673287181254234,0.1850115397123572,0.75,0.5,36,18,51,0,1
react-native-windows-fs-0.73.0,509.0,183.0,0.0,0.0,0.0,0.0,0.005665326980260186,0.008426966292134831,0.0024459868497044433,0.006612087594388393,0.00119832555182501,0.002180549498473615,0.0011062205732326837,0.001797488327737515,0.0,0.0,3.0,103,50,0,0,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,3.0,1.0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0.1647576370223169,0.19585726587637473,0.6258145836939114,0.29583638929116374,0.18153020007452883,0.16884047423877585,0.6854752972273344,0.25162916738782287,80,32,14,2,0,0.10250281224829028,0.13772145019009915,0.3420192178195208,0.2457693011185773,0.21109987919516668,0.2001305179415022,0.5,0.4591479170272448,22,20,12,1,0
renovate-37.277.0,305622.0,91145.0,8.13472396079679e-05,0.004757373929590866,0.000328348336987499,0.0,0.007304383732399331,0.03399765533411489,0.00411132216182099,0.009638703771828827,0.0011010724033902763,0.011494252873563218,0.0013853780478586555,0.001667229080833648,460.0,0.0,997.0,853,360,6,0,3,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,1143.0,2.0,0,0,0,1.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0.16439644850926766,0.192581228507054,0.7697423784657509,0.2793146867260996,0.179570316495481,0.21227430726792426,0.9272204522702917,0.36096404744368116,83833,25011,18013,1289,1150,0.19518435128216002,0.14619375280812216,0.5478976275004669,0.29583638929116374,0.32426754557273424,0.18328226142829035,0.9750318782181049,0.4591479170272448,86,94,169,3,14
rnw-scripts-eslint-config-1.2.10,343.0,127.0,0.0,0.0,0.0,0.0,0.0002168256721595837,0.0002168256721595837,0.0,0.0002168256721595837,0.006504770164787511,0.006504770164787511,0.0,0.006504770164787511,1.0,0.0,2.0,54,30,0,0,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,1.0,2.0,0,0,0,1.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0.08804095346086946,0.11346446297871914,0.4854752972273343,0.16137847944869915,0.21350894088860106,0.16339855448520563,0.5,0.3096910973393819,21,29,0,0,0,0.09157733179811883,0.1304862739292432,0.3420192178195208,0.1982140804857337,0.31069871643427666,0.22668781542094626,0.705718704387226,0.4926140680171258,15,5,8,1,0
rnw-scripts-just-task-2.3.26,994.0,385.0,0.00010059384157283761,0.0003629764065335753,0.0001719118708092579,0.000170590242238144,0.005973941427965946,0.019230769230769232,0.006258579928528581,0.005659363881437927,0.0028997003611875246,0.019230769230769232,0.007206571786966287,0.0005335666487717193,6.0,0.0,0.0,84,46,0,0,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,7.0,2.0,0,0,0,1.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0.09396287855517182,0.1358285203699685,0.5478976275004669,0.2427303803729567,0.17947541809176945,0.19098785687653316,0.6854752972273344,0.32501121082417705,325,74,0,2,0,0.10078223149884984,0.1382019501106277,0.44444288809206367,0.22712314512769866,0.3098437147757408,0.1956476711786738,0.5,0.4926140680171258,22,6,11,1,1
scratch-l10n-3.18.87,748352.0,200149.0,3.6416789414157264e-05,0.006228373702422145,0.00039083769581655075,0.0,0.0016612406855583493,0.0072992700729927005,0.0011355942825236594,0.001564945226917058,0.0006438625522248014,0.014598540145985401,0.0009499295773003073,0.000566352249542625,4697.0,0.0,20.0,313,95,1,0,3,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,276.0,4241.0,0,0,0,3.0,0,0,3.0,0,0,0,0,0,1.0,0.0,0,0,0.0,0.0,0.0,4.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0.06050579765397169,0.12032557455065991,0.8544976193684641,-0.0,0.13993279362884464,0.19535613130871318,0.9609640474436811,0.32501121082417705,83545,240162,584,26844,96,0.1476675516626817,0.13651124386987235,0.5744174271404584,0.25162916738782287,0.21388867840817374,0.19929476495403808,0.8920795639257109,0.4056390622295664,36,80,43,3,1
swc-core-1.4.12,7342.0,2512.0,3.4936206486954816e-06,2.096172389217289e-05,8.557587944155095e-06,0.0,0.006068348864309949,0.007838014369693011,0.0013433578644213452,0.007021003084721972,0.000799142086370632,0.0019925989183034445,0.0007476585066241994,0.001071812139535926,11.0,0.0,1.0,399,192,1,0,5,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,6.0,2.0,0,0,0,3.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,0.09529986131053486,0.14476746305263002,0.75,0.2197484934607567,0.22775404485795445,0.20224244542013667,0.75,0.36096404744368116,2965,172,6,41,1,0.18884382717801282,0.19179799296110553,0.6630437626821492,0.32501121082417705,0.32418902255258647,0.22259134162800992,0.8804820237218406,0.4926140680171258,52,56,69,8,9
tanstack-react-router-1.26.1,11418.0,3435.0,0.0003335059362356098,0.008093525179856115,0.0015837317244023106,0.0,0.004746306878703811,0.009892086330935251,0.002962466327007049,0.006527825967014645,0.0011826752364163368,0.006294964028776978,0.0016513366711742661,0.002014439463898267,7.0,0.0,1.0,144,76,1,0,3,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,26.0,1.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0.13102780128807842,0.16055475597569188,0.792481250360578,0.25162916738782287,0.16092533812839438,0.20958454427094642,0.7806390622295662,0.32501121082417705,3345,413,42,10,1,0.07660052874133581,0.11878627830334469,0.37479762862974,0.19093922877828257,0.24368931997172383,0.2167594070322151,0.6493974703476992,0.4591479170272448,36,25,10,3,0
